Identif;Fechas;Anio;Mes;Nombre;Aniomes
1;1/1/2017;2017;1;Enero;201701
2;1/2/2017;2017;2;Febrero;201702
3;1/3/2017;2017;3;Marzo;201703
4;1/4/2017;2017;4;Abril;201704
5;1/5/2017;2017;5;Mayo;201705
6;1/6/2017;2017;6;Junio;201706
7;1/7/2017;2017;7;Julio;201707
8;1/8/2017;2017;8;Agosto;201708
9;1/9/2017;2017;9;Septiembre;201709
10;1/10/2017;2017;10;Octubre;201710
11;1/11/2017;2017;11;Noviembre;201711
12;1/12/2017;2017;12;Diciembre;201712
13;1/1/2018;2018;1;Enero;201801
14;1/2/2018;2018;2;Febrero;201802
15;1/3/2018;2018;3;Marzo;201803
16;1/4/2018;2018;4;Abril;201804
17;1/5/2018;2018;5;Mayo;201805
18;1/6/2018;2018;6;Junio;201806
19;1/7/2018;2018;7;Julio;201807
20;1/8/2018;2018;8;Agosto;201808
21;1/9/2018;2018;9;Septiembre;201809
22;1/10/2018;2018;10;Octubre;201810
23;1/11/2018;2018;11;Noviembre;201811
24;1/12/2018;2018;12;Diciembre;201812
25;1/1/2019;2019;1;Enero;201901
26;1/2/2019;2019;2;Febrero;201902
27;1/3/2019;2019;3;Marzo;201903
28;1/4/2019;2019;4;Abril;201904
29;1/5/2019;2019;5;Mayo;201905
30;1/6/2019;2019;6;Junio;201906
31;1/7/2019;2019;7;Julio;201907
32;1/8/2019;2019;8;Agosto;201908
33;1/9/2019;2019;9;Septiembre;201909
34;1/10/2019;2019;10;Octubre;201910
35;1/11/2019;2019;11;Noviembre;201911
36;1/12/2019;2019;12;Diciembre;201912
37;1/1/2020;2020;1;Enero;202001
38;1/2/2020;2020;2;Febrero;202002
39;1/3/2020;2020;3;Marzo;202003
40;1/4/2020;2020;4;Abril;202004
41;1/5/2020;2020;5;Mayo;202005
42;1/6/2020;2020;6;Junio;202006
43;1/7/2020;2020;7;Julio;202007
44;1/8/2020;2020;8;Agosto;202008
45;1/9/2020;2020;9;Septiembre;202009
46;1/10/2020;2020;10;Octubre;202010
47;1/11/2020;2020;11;Noviembre;202011
48;1/12/2020;2020;12;Diciembre;202012
49;1/1/2021;2021;1;Enero;202101
50;1/2/2021;2021;2;Febrero;202102
51;1/3/2021;2021;3;Marzo;202103
52;1/4/2021;2021;4;Abril;202104
53;1/5/2021;2021;5;Mayo;202105
54;1/6/2021;2021;6;Junio;202106
55;1/7/2021;2021;7;Julio;202107
56;1/8/2021;2021;8;Agosto;202108
57;1/9/2021;2021;9;Septiembre;202109
58;1/10/2021;2021;10;Octubre;202110
59;1/11/2021;2021;11;Noviembre;202111
60;1/12/2021;2021;12;Diciembre;202112
61;1/1/2022;2022;1;Enero;202201
62;1/2/2022;2022;2;Febrero;202202
63;1/3/2022;2022;3;Marzo;202203
64;1/4/2022;2022;4;Abril;202204
65;1/5/2022;2022;5;Mayo;202205
66;1/6/2022;2022;6;Junio;202206
67;1/7/2022;2022;7;Julio;202207
68;1/8/2022;2022;8;Agosto;202208
69;1/9/2022;2022;9;Septiembre;202209
70;1/10/2022;2022;10;Octubre;202210
71;1/11/2022;2022;11;Noviembre;202211
72;1/12/2022;2022;12;Diciembre;202212
73;1/1/2023;2023;1;Enero;202301
74;1/2/2023;2023;2;Febrero;202302
75;1/3/2023;2023;3;Marzo;202303
76;1/4/2023;2023;4;Abril;202304
77;1/5/2023;2023;5;Mayo;202305
78;1/6/2023;2023;6;Junio;202306
79;1/7/2023;2023;7;Julio;202307
80;1/8/2023;2023;8;Agosto;202308
81;1/9/2023;2023;9;Septiembre;202309
82;1/10/2023;2023;10;Octubre;202310
83;1/11/2023;2023;11;Noviembre;202311
84;1/12/2023;2023;12;Diciembre;202312
85;1/1/2024;2024;1;Enero;202401
